Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
078 DP - Jardins;12.278;2;2.203;0;401;1;1;3;1;4;0;269;188;18;6;3;16;0;2019
080 DP - Vila Joaniza;900;13;1.613;0;110;2;0;3;0;6;1;208;64;0;1;5;134;0;2020
080 DP - Vila Joaniza;1.281;10;1.419;0;158;3;0;3;0;9;0;211;91;4;4;19;257;0;2019
081 DP - Belém;645;11;300;0;81;5;0;0;0;2;1;107;26;11;2;5;14;0;2020
081 DP - Belém;770;20;386;1;131;3;0;0;0;2;0;109;49;32;2;1;14;0;2019
083 DP - Parque Bristol;441;13;877;0;160;3;0;1;0;6;0;339;53;2;7;8;173;0;2020
083 DP - Parque Bristol;675;16;854;0;174;8;0;1;1;3;0;373;108;4;9;14;317;0;2019
085 DP - Jardim Mirna;1.486;120;2.640;0;213;21;0;7;0;16;1;503;89;7;14;41;158;0;2020
085 DP - Jardim Mirna;1.717;141;2.570;0;269;13;0;7;0;19;1;551;177;2;12;49;270;0;2019
087 DP - Vila Pereira Barreto;917;30;746;0;374;6;0;1;0;9;0;286;91;0;4;20;204;0;2020
087 DP - Vila Pereira Barreto;1.062;33;1.059;0;452;6;0;2;0;6;0;220;131;6;5;19;438;0;2019
089 DP - Portal do Morumbi;1.328;10;1.341;0;109;13;1;8;0;10;1;251;138;6;7;17;139;0;2020
089 DP - Portal do Morumbi;1.529;3;1.285;0;142;9;0;0;1;10;0;223;184;16;5;21;131;0;2019
090 DP - Parque Novo Mundo;1.098;52;936;0;206;15;0;4;0;2;1;130;81;3;1;10;128;0;2020
090 DP - Parque Novo Mundo;908;78;909;0;291;18;0;4;0;9;0;137;103;2;2;11;114;0;2019
091 DP - Ceagesp;1.260;27;523;0;280;4;0;5;0;7;0;133;107;7;5;1;65;1;2020
091 DP - Ceagesp;1.475;40;661;0;465;1;0;6;0;4;0;179;123;5;3;9;88;0;2019
092 DP - Parque Santo Antônio;1.694;26;2.739;0;271;11;0;6;0;19;0;525;148;10;17;38;169;0;2020
092 DP - Parque Santo Antônio;1.992;36;2.928;5;333;22;0;13;0;14;0;572;209;17;18;38;271;1;2019
093 DP - Jaguaré;1.054;34;670;0;233;5;0;6;4;3;0;71;112;42;6;12;91;0;2020
093 DP - Jaguaré;1.583;49;991;0;360;0;0;0;1;6;0;129;180;10;5;7;140;0;2019
095 DP - Heliópolis;707;54;1.435;1;301;6;0;4;0;8;0;316;61;5;5;18;299;0;2020
095 DP - Heliópolis;815;82;1.603;1;351;6;0;3;0;4;0;362;112;4;4;18;512;0;2019
096 DP - Monções;2.526;8;1.065;1;249;0;0;2;0;0;0;225;64;6;3;4;62;0;2020
096 DP - Monções;3.301;7;1.183;0;375;2;0;2;0;3;0;257;138;30;2;6;70;0;2019
097 DP - Americanópolis;720;34;1.245;0;121;5;0;9;0;4;1;291;72;8;7;15;219;0;2020
097 DP - Americanópolis;1.113;12;1.109;3;165;4;0;5;0;9;0;372;97;11;10;17;441;0;2019
098 DP - Jardim Míriam;1.009;13;2.369;0;186;14;0;5;0;19;0;376;147;1;7;27;338;0;2020
098 DP - Jardim Míriam;1.535;43;2.791;1;210;11;0;8;0;14;0;447;170;1;13;36;627;0;2019
099 DP - Campo Grande;1.272;11;1.079;0;231;4;0;4;0;1;0;139;134;6;7;7;158;1;2020
099 DP - Campo Grande;1.869;14;1.014;1;366;4;0;5;0;0;0;202;187;9;5;7;210;0;2019
100 DP - Jardim Herculano;1.213;83;2.486;1;173;32;1;7;0;18;1;557;106;4;17;52;262;0;2020
100 DP - Jardim Herculano;1.213;151;2.973;2;157;29;0;6;0;21;0;569;100;2;15;55;297;0;2019
101 DP - Jardim das Imbuias;1.764;97;2.802;0;168;5;1;12;1;8;0;604;160;12;19;42;167;0;2020
101 DP - Jardim das Imbuias;2.071;104;2.744;2;303;9;0;7;0;22;0;615;198;13;15;45;255;0;2019
102 DP - Socorro;757;9;856;0;103;0;0;5;0;2;0;78;102;10;2;5;75;0;2020
102 DP - Socorro;838;7;707;0;128;2;0;6;0;4;1;131;145;10;4;3;82;0;2019
103 DP - Cohab Itaquera;928;16;949;0;225;0;0;4;0;3;0;364;63;1;7;15;133;0;2020
103 DP - Cohab Itaquera;990;18;1.091;0;265;5;0;0;0;7;0;306;63;18;7;21;223;0;2019
1ª DDM - 1ª Seccional - Centro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
1ª DDM - 1ª Seccional - Centro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
2ª DDM - 2ª Seccional - Sul;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2020
2ª DDM - 2ª Seccional - Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
3ª DDM - 3ª Seccional - Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
3ª DDM - 3ª Seccional - Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
4ª DDM - 4ª Seccional - Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2020
4ª DDM - 4ª Seccional - Norte;0;0;0;0;0;0;0;0;0;0;0;257;1;59;0;4;0;0;2019
5ª DDM - 5ª Seccional - Leste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
5ª DDM - 5ª Seccional - Leste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
6ª DDM - 6ª Seccional - Santo Amaro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
6ª DDM - 6ª Seccional - Santo Amaro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
7ª DDM - 7ª Seccional - Itaquera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
7ª DDM - 7ª Seccional - Itaquera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
8ª DDM - 8ª Seccional São Mateus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
8ª DDM - 8ª Seccional São Mateus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
9ª DDM - 3ª Seccional - Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
9ª DDM - 3ª Seccional - Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Central de Flagrantes II - 91 DP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Central de Flagrantes II - 91 DP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Del. Aeroporto Int. SP - Guarulhos (SP);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Del. Aeroporto Int. SP - Guarulhos (SP);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Del. Aeroporto Int. Viracopos - CPS (SP);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Del. Aeroporto Int. Viracopos - CPS (SP);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Del. Aeroporto SP - Congonhas;23;0;0;0;8;0;0;0;0;0;0;4;0;0;0;0;0;0;2020
Del. Aeroporto SP - Congonhas;73;0;0;0;3;0;0;0;0;0;0;4;2;0;0;1;1;0;2019
Del. Pol. Atendimento ao Turista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Del. Pol. Atendimento ao Turista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Delegacia de Proteção ao Idoso - 1ª Seccional - Centro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Delegacia de Proteção ao Idoso - 1ª Seccional - Centro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Delegacia do Idoso - 2ª Seccional - Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Delegacia do Idoso - 2ª Seccional - Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Delegacia do Idoso - 3ª Seccional - Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Delegacia do Idoso - 3ª Seccional - Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Delegacia do Idoso - 4ª Seccional - Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Delegacia do Idoso - 4ª Seccional - Norte;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2019
Delegacia do Idoso - 5ª Seccional - Leste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
Delegacia do Idoso - 5ª Seccional - Leste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Delegacia do Idoso - 6ª Secional - Santo Amaro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020
